,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.00265,https://api.spotify.com/v1/audio-analysis/6CJypZai1Sqyqmyopm0u4u,0.66,234353,0.938,6CJypZai1Sqyqmyopm0u4u,0.00785,10,0.125,-4.334,0,0.0488,130.005,4,https://api.spotify.com/v1/tracks/6CJypZai1Sqyqmyopm0u4u,audio_features,spotify:track:6CJypZai1Sqyqmyopm0u4u,0.443
1,0.695,https://api.spotify.com/v1/audio-analysis/0f5N14nB8xi0p3o4BlVvbx,0.473,356707,0.574,0f5N14nB8xi0p3o4BlVvbx,0.0,11,0.509,-8.189,0,0.032,74.056,4,https://api.spotify.com/v1/tracks/0f5N14nB8xi0p3o4BlVvbx,audio_features,spotify:track:0f5N14nB8xi0p3o4BlVvbx,0.499
2,0.00424,https://api.spotify.com/v1/audio-analysis/3AhEF2J0fy33PdGYEkzqm2,0.519,271933,0.971,3AhEF2J0fy33PdGYEkzqm2,6.26e-06,7,0.651,-3.403,1,0.0977,138.059,4,https://api.spotify.com/v1/tracks/3AhEF2J0fy33PdGYEkzqm2,audio_features,spotify:track:3AhEF2J0fy33PdGYEkzqm2,0.49
3,0.00596,https://api.spotify.com/v1/audio-analysis/2KhEVY9OrCbk1SqmYpVWhH,0.566,219400,0.849,2KhEVY9OrCbk1SqmYpVWhH,2.29e-06,2,0.115,-6.575,0,0.0447,98.996,4,https://api.spotify.com/v1/tracks/2KhEVY9OrCbk1SqmYpVWhH,audio_features,spotify:track:2KhEVY9OrCbk1SqmYpVWhH,0.402
4,0.0067,https://api.spotify.com/v1/audio-analysis/2KVwlelhxKUy8LVV6JypH3,0.42,238667,0.672,2KVwlelhxKUy8LVV6JypH3,0.0,6,0.108,-7.902,1,0.027,168.019,4,https://api.spotify.com/v1/tracks/2KVwlelhxKUy8LVV6JypH3,audio_features,spotify:track:2KVwlelhxKUy8LVV6JypH3,0.476
5,0.00552,https://api.spotify.com/v1/audio-analysis/5GorCbAP4aL0EJ16frG2hd,0.496,262333,0.682,5GorCbAP4aL0EJ16frG2hd,2.94e-05,8,0.0589,-4.095,1,0.0294,167.06,4,https://api.spotify.com/v1/tracks/5GorCbAP4aL0EJ16frG2hd,audio_features,spotify:track:5GorCbAP4aL0EJ16frG2hd,0.474
6,0.333,https://api.spotify.com/v1/audio-analysis/3f5rOhrNLYP53c9RcPfp02,0.595,219960,0.32,3f5rOhrNLYP53c9RcPfp02,7.06e-05,7,0.34,-9.494,1,0.0272,143.565,4,https://api.spotify.com/v1/tracks/3f5rOhrNLYP53c9RcPfp02,audio_features,spotify:track:3f5rOhrNLYP53c9RcPfp02,0.239
7,0.00183,https://api.spotify.com/v1/audio-analysis/2FZ0yrA5aPClG5ZPBlV7n4,0.362,304787,0.6,2FZ0yrA5aPClG5ZPBlV7n4,0.0426,2,0.0814,-12.285,1,0.0463,148.462,4,https://api.spotify.com/v1/tracks/2FZ0yrA5aPClG5ZPBlV7n4,audio_features,spotify:track:2FZ0yrA5aPClG5ZPBlV7n4,0.658
8,0.621,https://api.spotify.com/v1/audio-analysis/0k0BQTVVAcufuV6G2u8Rc8,0.416,243947,0.318,0k0BQTVVAcufuV6G2u8Rc8,9.85e-06,11,0.104,-8.317,0,0.0277,83.953,4,https://api.spotify.com/v1/tracks/0k0BQTVVAcufuV6G2u8Rc8,audio_features,spotify:track:0k0BQTVVAcufuV6G2u8Rc8,0.329
9,0.683,https://api.spotify.com/v1/audio-analysis/3iX0BMs9dX9CsgrHhiB173,0.664,208467,0.634,3iX0BMs9dX9CsgrHhiB173,3.34e-05,2,0.221,-6.348,1,0.0349,93.914,4,https://api.spotify.com/v1/tracks/3iX0BMs9dX9CsgrHhiB173,audio_features,spotify:track:3iX0BMs9dX9CsgrHhiB173,0.666
10,0.545,https://api.spotify.com/v1/audio-analysis/24m5vklX7lGxNA75IGafuu,0.513,277133,0.552,24m5vklX7lGxNA75IGafuu,0.0,7,0.14,-7.931,1,0.0494,135.728,4,https://api.spotify.com/v1/tracks/24m5vklX7lGxNA75IGafuu,audio_features,spotify:track:24m5vklX7lGxNA75IGafuu,0.34
11,0.106,https://api.spotify.com/v1/audio-analysis/1OH2mcqlTL1iUqsZ5b4vwe,0.59,133920,0.699,1OH2mcqlTL1iUqsZ5b4vwe,0.0,2,0.0898,-9.276,1,0.0845,91.043,4,https://api.spotify.com/v1/tracks/1OH2mcqlTL1iUqsZ5b4vwe,audio_features,spotify:track:1OH2mcqlTL1iUqsZ5b4vwe,0.779
12,0.000354,https://api.spotify.com/v1/audio-analysis/06UVb2bREPv8hvioVkaMvC,0.619,226400,0.723,06UVb2bREPv8hvioVkaMvC,0.646,4,0.163,-11.836,0,0.11,104.04,4,https://api.spotify.com/v1/tracks/06UVb2bREPv8hvioVkaMvC,audio_features,spotify:track:06UVb2bREPv8hvioVkaMvC,0.492
13,0.254,https://api.spotify.com/v1/audio-analysis/1mIpDPCehnf3EPk6J4ZCUF,0.888,203680,0.739,1mIpDPCehnf3EPk6J4ZCUF,0.0,6,0.0916,-2.941,1,0.388,94.031,4,https://api.spotify.com/v1/tracks/1mIpDPCehnf3EPk6J4ZCUF,audio_features,spotify:track:1mIpDPCehnf3EPk6J4ZCUF,0.803
14,0.371,https://api.spotify.com/v1/audio-analysis/2hKfSFxrVENktJn23X0T1U,0.462,193613,0.396,2hKfSFxrVENktJn23X0T1U,2.55e-05,2,0.102,-9.39,1,0.0286,98.0,4,https://api.spotify.com/v1/tracks/2hKfSFxrVENktJn23X0T1U,audio_features,spotify:track:2hKfSFxrVENktJn23X0T1U,0.0864
15,0.000511,https://api.spotify.com/v1/audio-analysis/2Jpm7obuQxAYilV0WyJJL4,0.681,234000,0.829,2Jpm7obuQxAYilV0WyJJL4,1.09e-05,2,0.112,-6.894,1,0.101,94.067,4,https://api.spotify.com/v1/tracks/2Jpm7obuQxAYilV0WyJJL4,audio_features,spotify:track:2Jpm7obuQxAYilV0WyJJL4,0.782
16,0.651,https://api.spotify.com/v1/audio-analysis/2pp0X2UDLlWY90oLj5ekwo,0.478,219187,0.367,2pp0X2UDLlWY90oLj5ekwo,0.0,3,0.123,-8.348,1,0.0282,76.572,4,https://api.spotify.com/v1/tracks/2pp0X2UDLlWY90oLj5ekwo,audio_features,spotify:track:2pp0X2UDLlWY90oLj5ekwo,0.634
