,artist,song,artist_followers,release_date,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
0,Weird Al Yankovic,Slime Creatures From Outer Space,274175,1985,0.0248,0.703,262320,0.914,0.000182,5,0.291,-15.277,0,0.0458,108.1,4,0.543,21
1,Pat Benatar,I Want Out,302270,1988,0.000333,0.477,280213,0.859,0.000155,0,0.265,-8.625,1,0.0387,91.009,4,0.629,60
2,U2,Mothers Of The Disappeared,2078698,1987-03-03,0.135,0.525,314450,0.251,0.853,9,0.329,-20.426,1,0.0333,103.577,4,0.0574,38
3,Celine Dion,Have A Heart,1025185,2008,0.00497,0.625,198267,0.951,0.0,3,0.106,-5.209,1,0.0494,128.01,4,0.721,57
4,John Denver,Let Us Begin,2805634,2017-05-19,0.0297,0.67,222756,0.803,0.0,7,0.345,-3.075,1,0.274,85.599,4,0.388,42
5,Marillion,Marbles 4,113240,2004-05-03,0.641,0.404,85747,0.205,0.284,2,0.215,-19.834,1,0.0547,155.428,4,0.34,18
6,Alphaville,Burning Wheels,14273,2017-04-28,0.0347,0.506,184133,0.913,0.0,2,0.361,-6.516,0,0.103,145.109,4,0.627,31
7,Grateful Dead,Dancing In The Street,1276626,1984-08-21,0.0115,0.527,241307,0.942,0.0,1,0.188,-5.64,0,0.0366,148.723,4,0.495,72
8,Deep Purple,Never A Word,2002916,2012-04-13,0.684,0.482,535111,0.273,0.0,4,0.688,-12.113,0,0.0373,147.919,4,0.088,32
9,Michael Bolton,Don't Make Me Wait On Love,1181,1985-01-01,0.106,0.624,154973,0.52,0.0,11,0.0893,-9.402,1,0.0272,87.266,4,0.627,1
10,George Michael,A Moment With You,5433,2006-02-21,0.743,0.739,240293,0.536,0.817,9,0.216,-8.467,1,0.0359,110.047,4,0.509,26
11,Johnny Cash,Don't Step On Mother's Roses,689,2012-03-09,0.764,0.525,160733,0.531,0.0,0,0.145,-10.037,1,0.0307,167.267,4,0.717,0
12,Bruno Mars,When I Was Your Man,8681044,2012-12-07,0.932,0.612,213827,0.28,0.0,0,0.088,-8.648,1,0.0434,72.795,4,0.387,81
13,Uriah Heep,Dreamer,39375,2009,0.751,0.627,265013,0.383,0.0289,8,0.0984,-13.143,1,0.0407,154.028,4,0.421,63
14,Heart,Back To Avalon,161277,1988-08-02,0.0929,0.635,219533,0.395,0.0,4,0.27,-13.005,1,0.0266,117.096,4,0.334,48
15,Gary Valenciano,More Than Wonderful,16343,1990,0.805,0.314,281218,0.462,0.0,5,0.961,-12.113,1,0.084,119.986,4,0.319,24
16,Jimmy Buffett,Ain't He A Genius?,151233,1970,0.367,0.774,163827,0.34,0.00159,2,0.175,-12.571,1,0.0332,117.825,4,0.782,9
17,Les Miserables,The Wedding Chorale,383,1985,0.886,0.433,136307,0.505,1.46e-05,7,0.0931,-8.177,1,0.0926,71.007,4,0.523,23
18,Britney Spears,And Then We Kiss,2898897,2005-11-22,0.00134,0.549,267215,0.897,0.00149,8,0.264,-5.779,1,0.0358,129.982,4,0.378,31
19,New Order,Kiss Of Death,234893,2004-01-01,0.0164,0.602,240000,0.938,0.0,1,0.0612,-3.378,0,0.238,168.417,4,0.562,48
20,Elvis Presley,A Little Less Conversation,1712390,2009-12-08,0.000155,0.586,211173,0.935,0.277,4,0.159,-9.386,0,0.0482,114.997,4,0.58,63
21,Neil Diamond,Midnight Dream,33943,2013-02-01,0.00256,0.447,255185,0.968,1.15e-05,11,0.289,-4.351,1,0.113,95.034,4,0.33,44
22,Isley Brothers,Groove With You,376658,1978-08-21,0.726,0.607,291880,0.467,0.00791,9,0.131,-10.105,1,0.055,164.299,3,0.492,40
